model,domain,source_kind,saved_mj_agrees_with_tau_0_5,saved_mj_agrees_with_tau_0_7,threshold,mode,n_total,n_kept,kept_fraction,n_removed,removed_fraction,n_mj_positive,n_mj_negative,A,B,C,D,n_conflict_BC,conflict_fraction_kept,min_quadrant,min_BC
qwen25_14b,math,judged_pairs_all,,,0.7,symmetric_confident,5210,4968,0.9535508637236084,242,0.0464491362763915,1371,3597,1110,1349,261,2248,1610,0.324074074074074,261,261
qwen25_14b,math,judged_pairs_all,,,0.8,symmetric_confident,5210,4816,0.9243761996161228,394,0.0756238003838771,1301,3515,1069,1310,232,2205,1542,0.3201827242524916,232,232
qwen25_14b,movies,judged_pairs_all,,,0.5,symmetric_confident,3532,3532,1.0,0,0.0,699,2833,529,1237,170,1596,1407,0.3983578708946772,170,170
qwen25_14b,movies,judged_pairs_all,,,0.6,symmetric_confident,3532,3486,0.9869762174405436,46,0.0130237825594563,668,2818,506,1228,162,1590,1390,0.3987378083763626,162,162
qwen25_14b,movies,judged_pairs_all,,,0.7,symmetric_confident,3532,3424,0.9694224235560588,108,0.0305775764439411,637,2787,483,1211,154,1576,1365,0.3986565420560747,154,154
qwen25_14b,movies,judged_pairs_all,,,0.8,symmetric_confident,3532,3376,0.955832389580974,156,0.044167610419026,601,2775,462,1204,139,1571,1343,0.3978080568720379,139,139
olmo3_7b_it,math,judged_pairs_all,,,0.5,symmetric_confident,3168,3168,1.0,0,0.0,2051,1117,1153,431,898,686,1329,0.4195075757575757,431,431
olmo3_7b_it,math,judged_pairs_all,,,0.6,symmetric_confident,3168,2159,0.6815025252525253,1009,0.3184974747474747,1384,775,809,276,575,499,851,0.3941639647985178,276,276
olmo3_7b_it,math,judged_pairs_all,,,0.7,symmetric_confident,3168,1357,0.4283459595959596,1811,0.5716540404040404,829,528,507,184,322,344,506,0.3728813559322034,184,184
olmo3_7b_it,math,judged_pairs_all,,,0.8,symmetric_confident,3168,445,0.1404671717171717,2723,0.8595328282828283,160,285,98,98,62,187,160,0.3595505617977528,62,62
olmo3_7b_it,movies,judged_pairs_all,,,0.5,symmetric_confident,2186,2186,1.0,0,0.0,1091,1095,783,310,308,785,618,0.282708142726441,308,308
olmo3_7b_it,movies,judged_pairs_all,,,0.6,symmetric_confident,2186,1806,0.8261665141811528,380,0.1738334858188472,861,945,642,234,219,711,453,0.2508305647840531,219,219
olmo3_7b_it,movies,judged_pairs_all,,,0.7,symmetric_confident,2186,1465,0.6701738334858188,721,0.3298261665141812,659,806,511,163,148,643,311,0.2122866894197952,148,148
olmo3_7b_it,movies,judged_pairs_all,,,0.8,symmetric_confident,2186,1004,0.4592863677950595,1182,0.5407136322049405,368,636,301,103,67,533,170,0.1693227091633466,67,67
