model,source,target,direction,boot_ci_high,boot_ci_low,boot_p_ge_zero,boot_p_le_zero,cluster_se,component,estimate,layers,n_boot_valid,n_layers,n_questions,n_rows,p_two_sided,predictor,r2_within,rank,window_end,window_start,z
qwen25_7b,movies,math,movies->math,0.4192926392987793,0.3381672403434839,1.0,0.0,0.0216269864536723,W_truth,0.3784887456200588,11;12;13;14;15;16;17;18;19;20;21,1000,11,2307,4614,1.413648709465814e-68,SJ,0.4122958157719554,3,0.8,0.4,17.500762134883065
qwen25_7b,movies,math,movies->math,0.1298342020720584,0.0664673131491643,1.0,0.0,0.0163935394681265,W_truth,0.0978239510933383,11;12;13;14;15;16;17;18;19;20;21,1000,11,2307,4614,2.4132140088850007e-09,OCxSJ,0.4122958157719554,3,0.8,0.4,5.967225764974938
llama31_8b,math,movies,math->movies,0.2514629627377699,0.2106455827127492,1.0,0.0,0.0109710025624554,W_meta,0.2309105381814424,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2775,5560,2.418247440596777e-98,OC,0.5194697797867522,3,0.8,0.4,21.04735067437277
llama31_8b,math,movies,math->movies,0.6514141359309863,0.5798653290725931,1.0,0.0,0.019152572325134,W_meta,0.614515308920069,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2775,5560,7.078356823180745e-226,SJ,0.5194697797867522,3,0.8,0.4,32.08526241217403
llama31_8b,math,movies,math->movies,-0.0810357165052038,-0.1268393766542054,0.0,1.0,0.0122957005245677,W_meta,-0.1032001322279535,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2775,5560,4.731321142842177e-17,OCxSJ,0.5194697797867522,3,0.8,0.4,-8.393188498837583
llama31_8b,math,movies,math->movies,0.2358816612370969,0.1882281035764168,1.0,0.0,0.0123166393682506,W_truth,0.2111007281091548,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2775,5560,7.5328195961028e-66,OC,0.4638326251024331,3,0.8,0.4,17.139474640568164
llama31_8b,math,movies,math->movies,0.5925738666633398,0.5169185327607251,1.0,0.0,0.0202865754990965,W_truth,0.5540698506027655,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2775,5560,3.0432295945017582e-164,SJ,0.4638326251024331,3,0.8,0.4,27.31214297984604
llama31_8b,math,movies,math->movies,-0.0595663882509213,-0.1108294409006337,0.0,1.0,0.0134641858668726,W_truth,-0.0854038337811564,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2775,5560,2.2527879199099327e-10,OCxSJ,0.4638326251024331,3,0.8,0.4,-6.343037345561651
llama31_8b,movies,math,movies->math,0.2881544614087579,0.2408275272289256,1.0,0.0,0.0125055927235341,W_meta,0.2645891033545218,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1539,3078,2.345689864249199e-99,OC,0.4350814103756935,3,0.8,0.4,21.157661952047544
llama31_8b,movies,math,movies->math,0.5111789547933548,0.3990797333648094,1.0,0.0,0.0300556272585173,W_meta,0.4561330902341223,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1539,3078,5.076518851698145e-52,SJ,0.4350814103756935,3,0.8,0.4,15.176295816779572
llama31_8b,movies,math,movies->math,-0.0680716201040944,-0.1132055863609837,0.0,1.0,0.0127299314701522,W_meta,-0.0912447966655834,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1539,3078,7.624777954820523e-13,OCxSJ,0.4350814103756935,3,0.8,0.4,-7.167736674743662
llama31_8b,movies,math,movies->math,0.2507122313967709,0.2027149687653174,1.0,0.0,0.0127605738580106,W_truth,0.2264542076983262,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1539,3078,1.837731006045759e-70,OC,0.3832244007352777,3,0.8,0.4,17.74639684845886
llama31_8b,movies,math,movies->math,0.5215059415975315,0.4033277173355108,1.0,0.0,0.0312337383566352,W_truth,0.4617854971783619,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1539,3078,1.835213634354849e-49,SJ,0.3832244007352777,3,0.8,0.4,14.784829529708231
llama31_8b,movies,math,movies->math,-0.0645079915024374,-0.1116438813166839,0.0,1.0,0.0130115822123714,W_truth,-0.0889143940891485,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1539,3078,8.287873285174983e-12,OCxSJ,0.3832244007352777,3,0.8,0.4,-6.8334805589291285
qwen25_14b,math,movies,math->movies,0.2098716650884028,0.1587824520961866,1.0,0.0,0.0131797301517098,W_meta,0.1843754184600466,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1659,3320,1.811440663172798e-44,OC,0.3829458744889881,3,0.8,0.4,13.98931665047229
qwen25_14b,math,movies,math->movies,0.4559281103066246,0.3690563938963925,1.0,0.0,0.0230701635648379,W_meta,0.4141896550918975,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1659,3320,4.507764608206968e-72,SJ,0.3829458744889881,3,0.8,0.4,17.95347717964071
qwen25_14b,math,movies,math->movies,-0.0963538764292213,-0.1546654984430026,0.0,1.0,0.0156573742493236,W_meta,-0.1269343429873792,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1659,3320,5.188458970034322e-16,OCxSJ,0.3829458744889881,3,0.8,0.4,-8.107000635362732
qwen25_14b,math,movies,math->movies,0.145442893880699,0.0818102057905683,1.0,0.0,0.0157076455657002,W_truth,0.112751979900581,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1659,3320,7.065627936885854e-13,OC,0.272711680608612,3,0.8,0.4,7.178159160071079
qwen25_14b,math,movies,math->movies,0.3904732407580509,0.3020025281268504,1.0,0.0,0.0231918751385146,W_truth,0.3470570838596307,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1659,3320,1.250777732956421e-50,SJ,0.272711680608612,3,0.8,0.4,14.964597807931248
qwen25_14b,math,movies,math->movies,-0.0269138026566418,-0.0982493286942275,0.0,1.0,0.017452164016883,W_truth,-0.0631771848315208,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1659,3320,0.0002945801119055,OCxSJ,0.272711680608612,3,0.8,0.4,-3.620020117299135
qwen25_14b,movies,math,movies->math,0.185064258009305,0.139690311528754,1.0,0.0,0.0116585168337805,W_meta,0.1616940279750214,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,2370,4740,9.738842793577417e-44,OC,0.5683453834586855,3,0.8,0.4,13.869176523939451
qwen25_14b,movies,math,movies->math,0.567478831392578,0.5094891649245348,1.0,0.0,0.0156263218557468,W_meta,0.5393097797410124,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,2370,4740,5.136650411576484e-261,SJ,0.5683453834586855,3,0.8,0.4,34.512906154091
qwen25_14b,movies,math,movies->math,0.056094763862889,0.0029256518298011,0.986,0.014,0.0129082741834201,W_meta,0.0285844423496916,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,2370,4740,0.0267993581717666,OCxSJ,0.5683453834586855,3,0.8,0.4,2.2144278889277467
qwen25_14b,movies,math,movies->math,0.1398751025201066,0.0998994756400284,1.0,0.0,0.0107379306508348,W_truth,0.1199391428515924,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,2370,4740,5.739365032066649e-29,OC,0.4819008448375641,3,0.8,0.4,11.169670093023742
qwen25_14b,movies,math,movies->math,0.4877000555489688,0.4334211645444772,1.0,0.0,0.0144855605527298,W_truth,0.4599083840172542,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,2370,4740,3.232618902960134e-221,SJ,0.4819008448375641,3,0.8,0.4,31.749436436588763
qwen25_14b,movies,math,movies->math,0.0259654481948838,-0.0227344749877623,0.511,0.489,0.0122008415296764,W_truth,0.0012357386499991,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,2370,4740,0.9193257576498788,OCxSJ,0.4819008448375641,3,0.8,0.4,0.1012830669911947
olmo3_7b_it,math,movies,math->movies,0.1507344706147529,0.0613855051176767,1.0,0.0,0.023405728142304,W_meta,0.1054274874092289,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,508,1016,6.65777982058501e-06,OC,0.7085824628919828,3,0.8,0.4,4.504345550296172
olmo3_7b_it,math,movies,math->movies,0.7810305251157532,0.6586970230441669,1.0,0.0,0.0337859679849195,W_meta,0.7240293492279886,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,508,1016,7.03563568497593e-102,SJ,0.7085824628919828,3,0.8,0.4,21.429883244758937
olmo3_7b_it,math,movies,math->movies,-0.0113674098716709,-0.1016769651711133,0.009,0.991,0.023405728142304,W_meta,-0.055454700152118,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,508,1016,0.0178228030807933,OCxSJ,0.7085824628919828,3,0.8,0.4,-2.369278999352641
olmo3_7b_it,math,movies,math->movies,0.2421449377816718,0.1507410329220696,1.0,0.0,0.0235795031017993,W_truth,0.1943353897007925,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,508,1016,1.6976885893440854e-16,OC,0.7509329978425634,3,0.8,0.4,8.241708438968894
olmo3_7b_it,math,movies,math->movies,0.7445462932778293,0.61833901255687,1.0,0.0,0.0331551338045832,W_truth,0.6847127015176171,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,508,1016,9.407842976386396e-95,SJ,0.7509329978425634,3,0.8,0.4,20.651785197228325
olmo3_7b_it,math,movies,math->movies,-0.099987420742455,-0.1919785301831997,0.0,1.0,0.0235795031017993,W_truth,-0.1488509191978821,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,508,1016,2.7416439614519604e-10,OCxSJ,0.7509329978425634,3,0.8,0.4,-6.312725020338686
olmo3_7b_it,movies,math,movies->math,0.1939069881898976,0.0857892890485724,1.0,0.0,0.0322009358326513,W_meta,0.1424495134570795,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,362,724,9.699356492475644e-06,OC,0.2924346155142169,3,0.8,0.4,4.42376936488403
olmo3_7b_it,movies,math,movies->math,0.8067364048957721,0.436429704266281,1.0,0.0,0.093809986074463,W_meta,0.6119461671035827,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,362,724,6.879918581616559e-11,SJ,0.2924346155142169,3,0.8,0.4,6.5232518701989965
olmo3_7b_it,movies,math,movies->math,-0.0443813929132746,-0.1654247639360684,0.0,1.0,0.0333759905381523,W_meta,-0.1055246440733631,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,362,724,0.0015685470001651,OCxSJ,0.2924346155142169,3,0.8,0.4,-3.1616932523017454
olmo3_7b_it,movies,math,movies->math,0.1525173902064663,0.0436823696923129,1.0,0.0,0.033631655193215,W_truth,0.0983473472775299,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,362,724,0.0034528798545926,OC,0.1380959850778791,3,0.8,0.4,2.924249392797384
olmo3_7b_it,movies,math,movies->math,0.5868500970472009,0.22415323485209,1.0,0.0,0.0900839709991933,W_truth,0.3966406450775527,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,362,724,1.0675913414989052e-05,SJ,0.1380959850778791,3,0.8,0.4,4.403010221220205
olmo3_7b_it,movies,math,movies->math,-0.0196085360405329,-0.1467472960408395,0.004,0.996,0.0352999310895299,W_truth,-0.0834025402541398,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,362,724,0.0181431908672719,OCxSJ,0.1380959850778791,3,0.8,0.4,-2.362682806451064
