experiment,model,layer,source,target,direction,auc_mj,auc_mj_ci_high,auc_mj_ci_low,auc_mj_p,bootstrap_unit,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_meta_mj_auc_p,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,cb_truth_gt_auc_p,n_B,n_C,n_boot_valid,question_clusters,sample_size
Exp2B,qwen25_7b,3,math,movies,math->movies,,,,,target_question,0.03396333396333395,0.12353169637237842,-0.05196446287151679,0.237,0.5122472122472123,0.5668876970142194,0.458128608692165,0.342,513,0.4782838782838783,0.5385374714893042,0.4197538677864123,0.757,143,370,1000,468,
Exp2B,qwen25_7b,3,movies,math,movies->math,,,,,target_question,0.02340265658328483,0.07174413023525643,-0.026236988816462276,0.179,0.5024931438544004,0.5440876047348232,0.45921985165336526,0.476,1887,0.47909048727111553,0.5218093528988237,0.43612983573900205,0.802,168,1719,1000,1824,
Exp1,qwen25_7b,4,math,movies,math->movies,0.5142128142128142,0.5725527718813699,0.4559597077628299,0.319,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,4,movies,math,movies->math,0.5201944652206433,0.5629949280382529,0.4760845887408166,0.199,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,4,math,math,math->math,0.46743677110169257,0.5122693684062896,0.42426731600174666,0.921,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,4,movies,movies,movies->movies,0.4656397656397656,0.5193306549232568,0.4082061131466533,0.88,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,4,math,movies,math->movies,,,,,target_question,0.02203742203742204,0.12057536211149054,-0.07193737892346379,0.328,0.49444339444339447,0.553749115911814,0.4339416833365085,0.591,513,0.47240597240597243,0.5318170411898044,0.4100829817164418,0.829,143,370,1000,468,
Exp2B,qwen25_7b,4,movies,math,movies->math,,,,,target_question,0.012244106484944228,0.05851425402048986,-0.03663830567362002,0.322,0.47966702678744566,0.5223330889372781,0.4362390425645807,0.841,1887,0.46742292030250143,0.5132865193651259,0.423861029980668,0.916,168,1719,1000,1824,
Exp1,qwen25_7b,5,math,movies,math->movies,0.4960876960876961,0.55273972887965,0.4361603492373911,0.55,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,5,movies,math,movies->math,0.5356069420205546,0.5761267424971259,0.4881873448623686,0.072,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,5,math,math,math->math,0.4828734868001884,0.527886701154914,0.44064701741916734,0.772,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,5,movies,movies,movies->movies,0.46635796635796634,0.5190769771775214,0.4139564512785724,0.903,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,5,math,movies,math->movies,,,,,target_question,-0.0013230013230013382,0.11249118694467101,-0.10916267021564971,0.52,0.48087318087318087,0.5434658853557347,0.4218657989719509,0.742,513,0.4821961821961822,0.5445040914563124,0.4231821680105869,0.716,143,370,1000,468,
Exp2B,qwen25_7b,5,movies,math,movies->math,,,,,target_question,0.01359282805617884,0.06591762230475207,-0.038958033840223255,0.302,0.456292071802543,0.5013050903543449,0.41322187642745156,0.971,1887,0.44269924374636416,0.4895110646462593,0.3983829462906559,0.993,168,1719,1000,1824,
Exp1,qwen25_7b,6,math,movies,math->movies,0.5172746172746173,0.5797067290405611,0.4570404983759507,0.262,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,6,movies,math,movies->math,0.5044114795423696,0.5513809862706541,0.45505444298215236,0.421,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,6,math,math,math->math,0.47933114490706114,0.527310004053159,0.4358981387501919,0.825,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,6,movies,movies,movies->movies,0.4742203742203742,0.5326710140286413,0.4196132698969147,0.829,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,6,math,movies,math->movies,,,,,target_question,0.02260442260442258,0.12561680241673356,-0.08451995849191674,0.347,0.5187677187677188,0.5730683801656955,0.46274500946297303,0.289,513,0.4961632961632962,0.558217257457663,0.43882798024087916,0.545,143,370,1000,468,
Exp2B,qwen25_7b,6,movies,math,movies->math,,,,,target_question,0.007399789467852358,0.08094849358503795,-0.06444541068150059,0.418,0.5096713205351949,0.5567777292938323,0.463454243211267,0.347,1887,0.5022715310673426,0.5447096901597965,0.45672157792051604,0.462,168,1719,1000,1824,
Exp1,qwen25_7b,7,math,movies,math->movies,0.559043659043659,0.6195043143133225,0.5022364356503826,0.019,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,7,movies,math,movies->math,0.526884401229951,0.5777872924529849,0.47867980814492084,0.141,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,7,math,math,math->math,0.4867101581761268,0.5328517777298613,0.4420806059609238,0.728,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,7,movies,movies,movies->movies,0.5086940086940087,0.5684569520377547,0.45118782984728273,0.332,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,7,math,movies,math->movies,,,,,target_question,0.09899829899829898,0.1965049663475379,-0.008714508749927598,0.034,0.552031752031752,0.6024908151112344,0.4959227815757958,0.035,513,0.45303345303345305,0.5119379529311416,0.39713004921484224,0.945,143,370,1000,468,
Exp2B,qwen25_7b,7,movies,math,movies->math,,,,,target_question,0.05165309288345937,0.13372402074565132,-0.033904756607916656,0.131,0.5310881187844538,0.5779138966621584,0.4835428208435764,0.103,1887,0.47943502590099446,0.5264848118792604,0.43158747163268857,0.811,168,1719,1000,1824,
Exp1,qwen25_7b,8,math,movies,math->movies,0.5540540540540541,0.6097078775262005,0.49236571183674693,0.043,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,8,movies,math,movies->math,0.5081442699243747,0.5595864075576014,0.462981472295268,0.365,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,8,math,math,math->math,0.48183467686085485,0.525306681964178,0.4362056271019527,0.786,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,8,movies,movies,movies->movies,0.5075600075600075,0.5600383486787933,0.45126831265006184,0.385,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,8,math,movies,math->movies,,,,,target_question,0.10177660177660175,0.21193552602200294,-0.005348998544942451,0.032,0.5565110565110565,0.6112192676843659,0.49923231713733984,0.028,513,0.45473445473445473,0.5127389320340231,0.3982464844463432,0.947,143,370,1000,468,
Exp2B,qwen25_7b,8,movies,math,movies->math,,,,,target_question,0.015822806725948046,0.10768204055561005,-0.07530712920035608,0.369,0.5113818942352973,0.5564932421564285,0.4631606337917045,0.325,1887,0.4955590875093493,0.5434214914363422,0.44816950623068214,0.579,168,1719,1000,1824,
Exp1,qwen25_7b,9,math,movies,math->movies,0.5484785484785485,0.6050259383696776,0.48861550793403835,0.059,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,9,movies,math,movies->math,0.5208246765838389,0.5685015617693965,0.4726523166051029,0.206,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,9,math,math,math->math,0.49748261724701515,0.5431657790113533,0.45184936653264574,0.527,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,9,movies,movies,movies->movies,0.4910602910602911,0.547095837419664,0.4336259723308111,0.629,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,9,math,movies,math->movies,,,,,target_question,0.08625023625023626,0.20054464232301777,-0.019980383016787104,0.064,0.5485730485730486,0.6082037438423645,0.49156497459495735,0.047,513,0.4623228123228123,0.5183254590484347,0.4050665859036867,0.902,143,370,1000,468,
Exp2B,qwen25_7b,9,movies,math,movies->math,,,,,target_question,0.0404547217374443,0.13245003751739498,-0.05116617546945338,0.164,0.5255755007063908,0.5754940685370323,0.4808572842744502,0.124,1887,0.4851207789689465,0.5325988061700303,0.43663529197815704,0.752,168,1719,1000,1824,
Exp1,qwen25_7b,10,math,movies,math->movies,0.5064449064449065,0.5619550133384288,0.44823940548822855,0.405,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,10,movies,math,movies->math,0.5363271835784925,0.5836160261413689,0.4855218097520835,0.067,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,10,math,math,math->math,0.5004328374747223,0.5456517351798048,0.4566996266752123,0.516,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,10,movies,movies,movies->movies,0.4905688905688906,0.5490507093547786,0.4297332460200226,0.635,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,10,math,movies,math->movies,,,,,target_question,0.008164808164808135,0.12011453989030085,-0.10375376270137233,0.431,0.5164808164808165,0.5759748339904394,0.4565331745636725,0.286,513,0.5083160083160083,0.5682779062016744,0.4476446315205704,0.401,143,370,1000,468,
Exp2B,qwen25_7b,10,movies,math,movies->math,,,,,target_question,0.07049017978337357,0.1581573897987112,-0.017611738462207222,0.053,0.5435850023546359,0.5885367038645852,0.4953599307130824,0.034,1887,0.47309482257126234,0.5197231866421512,0.42417936361885233,0.876,168,1719,1000,1824,
Exp1,qwen25_7b,11,math,movies,math->movies,0.4998109998109998,0.5599963415670778,0.44049607234549415,0.496,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,11,movies,math,movies->math,0.5559329898335134,0.6012314485267035,0.5074166293780604,0.007,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,11,math,math,math->math,0.512981661541871,0.5587189741239841,0.46452004048016515,0.307,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,11,movies,movies,movies->movies,0.4926856926856927,0.5505538336611888,0.43571775124646533,0.584,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,11,math,movies,math->movies,,,,,target_question,-0.0008127008127007951,0.10485331258815729,-0.11447240295898176,0.492,0.5193347193347193,0.5773893803829029,0.46101019744082733,0.253,513,0.5201474201474201,0.5786341200047133,0.46572849336900385,0.268,143,370,1000,468,
Exp2B,qwen25_7b,11,movies,math,movies->math,,,,,target_question,0.10645724258289707,0.18820241748374542,0.017113035827116523,0.011,0.567186764176293,0.6118182693622182,0.5211926232113169,0.001,1887,0.4607295215933959,0.5058875717573436,0.41699088041879984,0.96,168,1719,1000,1824,
Exp1,qwen25_7b,12,math,movies,math->movies,0.5708845208845209,0.6319205583453937,0.5163687126022325,0.008,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,12,movies,math,movies->math,0.5543332225269398,0.6025501798245022,0.5070320778323005,0.013,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,12,math,math,math->math,0.5284599296379401,0.5745885000528208,0.48349772352959675,0.109,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,12,movies,movies,movies->movies,0.4951804951804952,0.5566070476456944,0.43837713775046666,0.537,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,12,math,movies,math->movies,,,,,target_question,0.12475902475902473,0.23280054946722253,0.0182915288959081,0.008,0.5799092799092799,0.6374688998113249,0.5244882984016246,0.005,513,0.45515025515025515,0.5103458214746919,0.3968244878973401,0.947,143,370,1000,468,
Exp2B,qwen25_7b,12,movies,math,movies->math,,,,,target_question,0.10312266267763648,0.1872759747756828,0.008259339336423718,0.015,0.5648286656140059,0.6090281209395242,0.5186253414063393,0.003,1887,0.46170600293636943,0.5086771406366235,0.41852313751714915,0.946,168,1719,1000,1824,
Exp1,qwen25_7b,13,math,movies,math->movies,0.5968058968058968,0.6523867474687908,0.5477383318331667,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,13,movies,math,movies->math,0.5879456494639741,0.6339064703719383,0.5370467075067726,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,13,math,math,math->math,0.53467893847475,0.5783939133416448,0.4877416993570773,0.079,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,13,movies,movies,movies->movies,0.4947457947457947,0.5509832516184249,0.43634936810981706,0.557,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,13,math,movies,math->movies,,,,,target_question,0.16864486864486872,0.2580269306072589,0.07048569389033058,0.0,0.6262143262143263,0.6829282488398881,0.570982344304485,0.0,513,0.45756945756945755,0.5101326208808048,0.4033802445810061,0.94,143,370,1000,468,
Exp2B,qwen25_7b,13,movies,math,movies->math,,,,,target_question,0.16187255879664258,0.24500009934880793,0.07516734477193249,0.0,0.6039052328319344,0.651001563376298,0.5563180365059189,0.0,1887,0.44203267403529184,0.48617933738021546,0.39773214416472746,0.995,168,1719,1000,1824,
Exp1,qwen25_7b,14,math,movies,math->movies,0.6692496692496692,0.7206730632310713,0.61439872422533,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,14,movies,math,movies->math,0.5871180642123051,0.6317846471864964,0.5394162532217982,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,14,math,math,math->math,0.5403369899443198,0.5887848393939197,0.49606091069254116,0.037,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,14,movies,movies,movies->movies,0.5237195237195237,0.584137621976947,0.4664129813421901,0.217,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,14,math,movies,math->movies,,,,,target_question,0.31426951426951427,0.4048927392769052,0.21533386504206264,0.0,0.6822339822339822,0.7291332253277871,0.628353854989765,0.0,513,0.36796446796446797,0.4173707782028896,0.32026041931615856,1.0,143,370,1000,468,
Exp2B,qwen25_7b,14,movies,math,movies->math,,,,,target_question,0.1557349234050805,0.23919745925445762,0.06261564348513354,0.0,0.6050790880633813,0.6502254584879623,0.5563280126256238,0.0,1887,0.4493441646583008,0.4949382587087372,0.4037882090812229,0.98,168,1719,1000,1824,
Exp1,qwen25_7b,15,math,movies,math->movies,0.7903798903798904,0.8310604981506634,0.7446371648018161,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,15,movies,math,movies->math,0.6446023435552232,0.6916101619902139,0.6002635420326072,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,15,math,math,math->math,0.5822287320978421,0.631360061824722,0.5380285771140324,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,15,movies,movies,movies->movies,0.5865809865809866,0.6478922975256244,0.5335243051035078,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,15,math,movies,math->movies,,,,,target_question,0.5439047439047439,0.6235769235934324,0.4621436031524095,0.0,0.7976374976374976,0.8371101399375487,0.7542093416601614,0.0,513,0.2537327537327537,0.30131912466843497,0.20546343130858302,1.0,143,370,1000,468,
Exp2B,qwen25_7b,15,movies,math,movies->math,,,,,target_question,0.26687027341477604,0.3525015916468955,0.18004726852827033,0.0,0.6555825646139782,0.7014191912898513,0.6108519810418689,0.0,1887,0.3887122911992022,0.43285489025752966,0.34595972352076276,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,16,math,movies,math->movies,0.7970326970326971,0.8361245649828052,0.7551417184444532,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,16,movies,math,movies->math,0.670801130225214,0.7148998302925266,0.6234420067117048,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,16,math,math,math->math,0.6252458516856423,0.6743597687573817,0.5772637720622638,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,16,movies,movies,movies->movies,0.6182574182574183,0.6728015892218485,0.5607547181871291,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,16,math,movies,math->movies,,,,,target_question,0.5701001701001701,0.6577670382277221,0.4844220325110553,0.0,0.8013797013797014,0.8436057233229598,0.7601942058835803,0.0,513,0.23127953127953127,0.2788494372213043,0.18060232609921736,1.0,143,370,1000,468,
Exp2B,qwen25_7b,16,movies,math,movies->math,,,,,target_question,0.30473489570348206,0.3871728928854639,0.2150305956744878,0.0,0.6834018947893293,0.7268444906391389,0.6363516832788535,0.0,1887,0.3786669990858473,0.423383533906924,0.33440077899362186,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,17,math,movies,math->movies,0.8308826308826309,0.8671285877666699,0.7906462949310035,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,17,movies,math,movies->math,0.7171424416188814,0.7606345771773017,0.670764572521393,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,17,math,math,math->math,0.6472339954015347,0.696685469658877,0.5995060557588996,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,17,movies,movies,movies->movies,0.6978264978264979,0.7456746637485565,0.6497212120717026,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,17,math,movies,math->movies,,,,,target_question,0.6251937251937252,0.6949924631329506,0.5521838674417794,0.0,0.832999432999433,0.8676292023792678,0.7955154737030031,0.0,513,0.2078057078057078,0.24993457706808098,0.16705650917232817,1.0,143,370,1000,468,
Exp2B,qwen25_7b,17,movies,math,movies->math,,,,,target_question,0.38788816864733094,0.47215277201021466,0.30638816245233236,0.0,0.7251031884539738,0.7708606819253602,0.6813950801142376,0.0,1887,0.33721501980664287,0.38159779448660003,0.2937830512671205,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,18,math,movies,math->movies,0.8328104328104328,0.8654979134775519,0.7957030172269159,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,18,movies,math,movies->math,0.7370044876589379,0.78034376819027,0.6922157271647628,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,18,math,math,math->math,0.6684222554641402,0.7148032606159198,0.6213026367497944,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,18,movies,movies,movies->movies,0.7094500094500095,0.7557135407354905,0.6611684699624789,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,18,math,movies,math->movies,,,,,target_question,0.6265545265545266,0.7010520839571781,0.5554295972156509,0.0,0.8504630504630505,0.8838705454862562,0.8167144850552527,0.0,513,0.22390852390852392,0.27133706444337874,0.1797770530581831,1.0,143,370,1000,468,
Exp2B,qwen25_7b,18,movies,math,movies->math,,,,,target_question,0.4472561566802405,0.5357031255444508,0.36246352689948436,0.0,0.7435316767777501,0.7890131142106003,0.6980712678098521,0.0,1887,0.2962755200975096,0.33812316156400585,0.2504260638567442,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,19,math,movies,math->movies,0.8556794556794557,0.8898943152939265,0.8202760865539913,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,19,movies,math,movies->math,0.7452145488794704,0.7874644191342226,0.702713866153537,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,19,math,math,math->math,0.6802716141721378,0.730012904962588,0.6315276129710411,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,19,movies,movies,movies->movies,0.7783405783405783,0.8212932518920921,0.7334994989306018,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,19,math,movies,math->movies,,,,,target_question,0.6723114723114724,0.740009415612425,0.5938366142514515,0.0,0.8611604611604612,0.8934799495685548,0.8238440304885811,0.0,513,0.18884898884898885,0.23177549254274551,0.14752693566231836,1.0,143,370,1000,468,
Exp2B,qwen25_7b,19,movies,math,movies->math,,,,,target_question,0.47627011828582505,0.5632001607783844,0.3915612632046748,0.0,0.7500969555943378,0.7922200855252085,0.7075387792404231,0.0,1887,0.2738268373085127,0.3190615855972535,0.22660971111519898,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,20,math,movies,math->movies,0.8476469476469477,0.8838976270655916,0.8081774780237537,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,20,movies,math,movies->math,0.7334517576664173,0.7720198572175947,0.6866894690605994,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,20,math,math,math->math,0.6800603894844732,0.7305005717651502,0.6347761342428107,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,20,movies,movies,movies->movies,0.7997164997164997,0.8427168722651486,0.7602500226865037,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,20,math,movies,math->movies,,,,,target_question,0.6581931581931582,0.729016811768852,0.5757015621806024,0.0,0.8558117558117558,0.8906475522771744,0.817707798828057,0.0,513,0.19761859761859762,0.24261498161948494,0.15805402382905273,1.0,143,370,1000,468,
Exp2B,qwen25_7b,20,movies,math,movies->math,,,,,target_question,0.458807723205629,0.5428167732204549,0.37891263779114726,0.0,0.7386215684645004,0.7801824630093633,0.7000628054545444,0.0,1887,0.27981384525887143,0.3196849585711232,0.23620387434782628,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,21,math,movies,math->movies,0.8366471366471366,0.8737791884185525,0.7974631110131286,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,21,movies,math,movies->math,0.7293969362032189,0.7708112057023692,0.6889736671278699,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,21,math,math,math->math,0.6833672677913516,0.7277679069671659,0.6376695445401147,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,21,movies,movies,movies->movies,0.8397278397278397,0.877025415251661,0.8015385020958418,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
